outcome,se_type,selected_bandwidth,sharp_tau,sharp_se,sharp_p_value,fuzzy_tau,fuzzy_se,fuzzy_p_value,first_stage_tau,first_stage_se,first_stage_p_value,fuzzy_bandwidth_used,fuzzy_bw_distance,fuzzy_exact_bw_match
runs_next,cluster_prv_election,0.111789953219861,0.2775601561410799,0.032789545167177,8.881784197001252e-16,0.2818429993018567,0.0333874864309734,0.0,0.9848041527680814,0.0086539746446501,0.0,0.111789953219861,0.0,1
wins_next,cluster_prv_election,0.0678155157038432,0.1964314907285585,0.0390479122118601,8.156610260545705e-07,0.2003188583886658,0.0398940994632463,5.133219282971169e-07,0.9805941003688984,0.0118434335113468,0.0,0.0678155157038432,0.0,1
