variable,n_total,mean_total,sd_total,min_total,max_total,n_left,mean_left,sd_left,n_right,mean_right,sd_right
running_variable,2424,-0.0109639406969672,0.0294381607441183,-0.0499222143855021,0.0499983383224153,1575,-0.0299737961194778,0.0139469579124928,849,0.0243016921539798,0.0140994378521303
elected_dta,2424,0.3506600660066006,0.4772751381851663,0.0,1.0,1575,0.0038095238095238,0.0616232293839714,849,0.994110718492344,0.076560445909771
runs_next,2128,0.4083646616541353,0.4916467770382989,0.0,1.0,1400,0.31,0.4626585078921021,728,0.5975274725274725,0.4907333162623964
wins_next,2128,0.1743421052631578,0.3794925712512301,0.0,1.0,1400,0.0557142857142857,0.2294511051617777,728,0.4024725274725275,0.4907333162623964
female,1891,0.4019037546271813,0.4904123880048776,0.0,1.0,1230,0.4105691056910569,0.4921372013163198,661,0.3857791225416036,0.4871474230100058
list_pos,2424,2.4843234323432344,2.4536482469036267,1.0,21.0,1575,2.328888888888889,2.326527255289152,849,2.772673733804476,2.6509000853537676
log_p_votes,2424,10.570439604160567,2.016777593887651,0.0,14.368066627483715,1575,9.93318596845002,2.1366314783568767,849,11.752623910690744,0.99737366666847
p_seats,2424,1.7648514851485149,2.605905017491551,0.0,19.0,1575,1.139047619047619,2.269143966382616,849,2.9257950530035335,2.7873376694291805
blank_vote_share,2424,0.0096533842609807,0.0037672905709504,0.004269486183304,0.0256624659906535,1575,0.0097946616488438,0.0038631369509604,849,0.0093912972340261,0.0035701391209811
