outcome,se_type,target_bandwidth,bandwidth_used,bandwidth_distance,sharp_tau,sharp_se,sharp_p_value,fuzzy_tau,fuzzy_se,fuzzy_p_value,first_stage_tau,first_stage_se,first_stage_p_value
runs_next,hc1,0.05,0.05,0.0,0.2850988733963444,0.0517143029210558,3.5284883681541146e-08,0.2912838592186828,0.0529267905301911,3.7227393390182335e-08,0.9787664656774032,0.0104007718800335,0.0
runs_next,cluster_prv_election,0.05,0.05,0.0,0.2850988733963444,0.0482631556885436,9.342352891295036e-09,0.2912838592186828,0.0494989421545787,3.9890164504896575e-09,0.9787664656774032,0.0145115123540239,0.0
runs_next,cluster_prv_election_party,0.05,0.05,0.0,0.2850988733963444,0.0509232543063746,2.160911649617958e-08,0.2912838592186828,0.0521624687289139,2.3482498390237083e-08,0.9787664656774032,0.0125776484095478,0.0
wins_next,hc1,0.05,0.05,0.0,0.185586359251041,0.0458001082219234,5.076118785196648e-05,0.1896125028380461,0.0468370638471033,5.158150142792195e-05,0.9787664656774032,0.0104007718800335,0.0
wins_next,cluster_prv_election,0.05,0.05,0.0,0.185586359251041,0.0468742890958134,9.375712173986804e-05,0.1896125028380461,0.0479736290261593,7.736094155164075e-05,0.9787664656774032,0.0145115123540239,0.0
wins_next,cluster_prv_election_party,0.05,0.05,0.0,0.185586359251041,0.0453869632374027,4.332752612512536e-05,0.1896125028380461,0.0464355685933357,4.439181199544784e-05,0.9787664656774032,0.0125776484095478,0.0
