outcome,se_type,requested_bandwidth,bandwidth_used,bandwidth_distance,sharp_tau,sharp_se,sharp_p_value,fuzzy_tau,fuzzy_se,fuzzy_p_value,first_stage_tau,first_stage_se,first_stage_p_value
runs_next,cluster_prv_election,0.025,0.025,0.0,0.3468034202741072,0.0639792850898678,1.5034571387850806e-07,0.354289982238204,0.0656115207295744,6.671017271919767e-08,0.9788688296609436,0.0158442740437637,0.0
runs_next,cluster_prv_election,0.05,0.05,0.0,0.2850988733963444,0.0482631556885436,9.342352891295036e-09,0.2912838592186828,0.0494989421545787,3.9890164504896575e-09,0.9787664656774032,0.0145115123540239,0.0
runs_next,cluster_prv_election,0.075,0.075,0.0,0.2766536301296365,0.0396215757981043,1.6107115641261768e-11,0.2819426266335043,0.0405063289225469,3.3917313402298532e-12,0.9812408766740232,0.0111667233686066,0.0
runs_next,cluster_prv_election,0.1,0.1,0.0,0.2759948763447498,0.0343257090677875,1.5099033134902132e-14,0.2806065406276899,0.0350010148775514,1.1102230246251563e-15,0.9835653713822056,0.0093478277942653,0.0
wins_next,cluster_prv_election,0.025,0.025,0.0,0.1834271009186829,0.0658355888821576,0.0057810975013179,0.1873868033802012,0.0673251614649017,0.0053807347213292,0.9788688296609436,0.0158442740437637,0.0
wins_next,cluster_prv_election,0.05,0.05,0.0,0.185586359251041,0.0468742890958134,9.375712173986804e-05,0.1896125028380461,0.0479736290261593,7.736094155164075e-05,0.9787664656774032,0.0145115123540239,0.0
wins_next,cluster_prv_election,0.075,0.075,0.0,0.2028398002029761,0.0367304190268807,6.79926774882489e-08,0.2067176419418177,0.0375064715909351,3.5574941659177746e-08,0.9812408766740232,0.0111667233686066,0.0
wins_next,cluster_prv_election,0.1,0.1,0.0,0.2351730569054874,0.0317573021506265,1.0458300891968977e-12,0.2391026196611604,0.032367811161456,1.5010215292932116e-13,0.9835653713822056,0.0093478277942653,0.0
