outcome,subgroup,n_window,n_left,n_right,mean_left,mean_right,tau,se,p_value,ci95_low,ci95_high,stars,median_seats
runs_next,high_magnitude,1344,975,369,0.3046153846153846,0.5962059620596206,0.2639764679488903,0.069137030952849,0.0002497403272485,0.1265811470517745,0.4013717888460061,***,8.0
runs_next,low_magnitude,774,419,355,0.3221957040572792,0.5971830985915493,0.3073771887825783,0.0702510722157551,1.8937373625460552e-05,0.1689045094753711,0.4458498680897855,***,8.0
wins_next,high_magnitude,1344,975,369,0.0461538461538461,0.4092140921409214,0.1368782895680685,0.0657911410979064,0.040387286845998,0.0061322216685215,0.2676243574676155,*,8.0
wins_next,low_magnitude,774,419,355,0.0787589498806682,0.3943661971830985,0.2439526101077459,0.0672013096347647,0.000354366225248,0.111491352157121,0.3764138680583708,***,8.0
