outcome,bandwidth,placebo_cutoff,placebo_label,tau,se,p_value,significance,n_window
runs_next,0.025,-0.4777296484835746,left_median,0.1041763984474844,0.0657847759711921,0.1151230231447206,,980
runs_next,0.025,0.0921964188897646,right_median,-0.0096084179833619,0.0972339384093924,0.9213595835028434,,524
runs_next,0.05,-0.4777296484835746,left_median,0.0504031395913471,0.05382617483205,0.3500464948542592,,2015
runs_next,0.05,0.0921964188897646,right_median,-0.0019810855005975,0.0632003469113767,0.9750127529298048,,1038
runs_next,0.075,-0.4777296484835746,left_median,0.0296871228080236,0.0452689789801874,0.5124839048461118,,3127
runs_next,0.075,0.0921964188897646,right_median,0.0039954535009866,0.0509130669907659,0.9374940170075008,,1588
runs_next,0.1,-0.4777296484835746,left_median,0.018296210090362,0.03828716565358,0.633074572571821,,4388
runs_next,0.1,0.0921964188897646,right_median,0.0019905647077668,0.0442559062195688,0.9641493077744872,,1976
wins_next,0.025,-0.4777296484835746,left_median,0.0096759027471552,0.0099440361386654,0.3319019563898933,,980
wins_next,0.025,0.0921964188897646,right_median,0.081777852760141,0.0971693286301023,0.4007874341746023,,524
wins_next,0.05,-0.4777296484835746,left_median,0.0063749193287693,0.0054977548784505,0.2474345858655868,,2015
wins_next,0.05,0.0921964188897646,right_median,0.0624924877808889,0.0673729011082645,0.3543235685066008,,1038
wins_next,0.075,-0.4777296484835746,left_median,0.0053352475649753,0.0039431930428884,0.1771154910921393,,3127
wins_next,0.075,0.0921964188897646,right_median,0.0266020408654961,0.0553750322170854,0.6312430071842918,,1588
wins_next,0.1,-0.4777296484835746,left_median,0.0038591779267202,0.0031450684435478,0.2207146044117061,,4388
wins_next,0.1,0.0921964188897646,right_median,0.0003367578526182,0.0469863215809382,0.9942854523249398,,1976
