covariate,tau_bw0.025,se_bw0.025,p_bw0.025,stars_bw0.025,tau_bw0.050,se_bw0.050,p_bw0.050,stars_bw0.050,tau_bw0.075,se_bw0.075,p_bw0.075,stars_bw0.075,tau_bw0.100,se_bw0.100,p_bw0.100,stars_bw0.100
female,0.1449777640358003,0.0800172029530838,0.0700120910504247,,0.088758761033655,0.0548241855359119,0.1054535242909078,,0.0119919051750822,0.0441480007732568,0.7859068132685723,,-0.0085938437417369,0.0377806423075886,0.820060742585633,
lag_log_p_votes,0.0819211686100718,0.7806679689993853,0.916425581815379,,0.0033419498224366,0.5208210729618136,0.9948802534948944,,-0.1514678041201702,0.4184737196665818,0.7173871782099261,,-0.1083266455792373,0.3553073444883638,0.7604563860370117,
lag_p_seats,0.2976855727734863,0.3267908840174122,0.3623291088241902,,0.1426174782180888,0.2701101881489429,0.597501137541165,,0.0290395703887097,0.2327516412264173,0.9007085359621991,,0.0565200448817505,0.2031315704543382,0.7808254227860223,
lag_party_vote_share,0.0104646718305527,0.0251813430561616,0.6777229071730659,,-0.0001249665657415,0.0184928037770642,0.9946082738040444,,-0.002675004136291,0.0151125687605748,0.8595042593113649,,-0.0016743909349428,0.0129321263950101,0.8969815687637035,
lag_province_blank_share,-3.434968238736445e-05,0.0005491778620656,0.9501268653451844,,-0.0002683926317939,0.0004012941934199,0.5036118184379961,,-0.0001351905971827,0.0003296339640962,0.6817154390862976,,-0.000140219260895,0.0002849491357987,0.622659093473567,
lag_province_turnout,0.0096811096422299,0.0080862575137782,0.2312169410064175,,0.0033035484544655,0.0058222203416225,0.5704400427783252,,-0.0101782789662012,0.0047279070638501,0.0313337243350277,*,-0.0107831775764114,0.004035437222282,0.0075373407022287,**
