outcome,bandwidth,n_window,n_left,n_right,mean_left,mean_right,tau,se,p_value,ci95_low,ci95_high,stars
list_pos_change,0.025,402,178,224,1.4719101123595506,0.5044642857142857,0.859194081045761,0.5246526708703119,0.1033902793988084,-0.1766579929109601,1.8950461550024824,
list_pos_change,0.05,864,432,432,1.2037037037037035,0.3703703703703703,-0.148436082003836,0.4560722297336002,0.7451254601612185,-1.047070443026829,0.7501982790191569,
list_pos_change,0.075,1403,798,605,1.1265664160401003,0.2892561983471074,-0.4980374323787927,0.4082092980919796,0.2235050106127316,-1.3017020653587332,0.3056272006011477,
list_pos_change,0.1,1904,1137,767,1.0263852242744065,0.2946544980443285,-0.7614821211721678,0.4071290963765396,0.0624225502679771,-1.5627277005221134,0.0397634581777776,
list_pos_next,0.025,402,178,224,4.179775280898877,3.232142857142857,-0.0131467561032023,0.6348662881694824,0.9835035261758978,-1.2665999410353757,1.240306428828971,
list_pos_next,0.05,864,432,432,3.858796296296296,3.263888888888889,-0.7700729370575499,0.4692217862591536,0.1021347113941546,-1.6946168855443065,0.1544710114292067,
list_pos_next,0.075,1403,798,605,3.593984962406015,3.0958677685950415,-0.946109820992476,0.4630558545040784,0.0420010965624999,-1.8577539582001985,-0.0344656837847533,*
list_pos_next,0.1,1904,1137,767,3.489885664028144,2.967405475880052,-0.8951736666511032,0.4539737579642651,0.0495593778816083,-1.7886113254848377,-0.0017360078173687,*
