outcome_family,se_type_source,target_bandwidth,same_prv_bandwidth_used,any_prv_bandwidth_used,same_prv_bw_distance,any_prv_bw_distance,same_prv_tau,same_prv_se,same_prv_p_value,any_prv_tau,any_prv_se,any_prv_p_value,any_minus_same_tau
runs,cluster_prv_election,0.05,0.05,0.05,0.0,0.0,0.2850988733963444,0.0482631556885436,9.342352891295036e-09,0.2709213742502014,0.050168985213361,1.347329194878455e-07,-0.014177499146142969
wins,cluster_prv_election,0.05,0.05,0.05,0.0,0.0,0.185586359251041,0.0468742890958134,9.375712173986804e-05,0.1887385291908288,0.0494398977387396,0.0001634501874214,0.0031521699397878133
