outcome,bandwidth,quadratic_tau,quadratic_se,quadratic_p_value,linear_tau,linear_se,linear_p_value
runs_next,0.025,0.465348194386269,0.0945247665858686,8.521469292421813e-07,0.3468034202741072,0.0639792850898678,1.5034571387850806e-07
runs_next,0.05,0.3294778989036069,0.0687322485013949,1.6377917848586776e-06,0.2850988733963444,0.0482631556885436,9.342352891295036e-09
runs_next,0.075,0.2997727571017029,0.0582905483931615,2.707695603287874e-07,0.2766536301296365,0.0396215757981043,1.6107337685866696e-11
runs_next,0.1,0.2850438746800183,0.05070530159903,1.8921958666595632e-08,0.2759948763447498,0.0343257090677875,1.5099033134902132e-14
wins_next,0.025,0.3151033721405646,0.1012001714723256,0.0018477952925148,0.1834271009186829,0.0658355888821576,0.0057810975013179
wins_next,0.05,0.1804612161503324,0.0701640235701533,0.0101115607709747,0.185586359251041,0.0468742890958134,9.375712173986804e-05
wins_next,0.075,0.1737620418976811,0.0573501640401683,0.0024468020466792,0.2028398002029761,0.0367304190268807,6.79926774882489e-08
wins_next,0.1,0.1667243813952186,0.0473581095982638,0.0004307286237497,0.2351730569054874,0.0317573021506265,1.0458300891968977e-12
