covariate,tau_bw0.025,se_bw0.025,p_bw0.025,stars_bw0.025,tau_bw0.050,se_bw0.050,p_bw0.050,stars_bw0.050,tau_bw0.075,se_bw0.075,p_bw0.075,stars_bw0.075,tau_bw0.100,se_bw0.100,p_bw0.100,stars_bw0.100
blank_vote_share,0.0001846180716669,0.0006014196549976,0.758865852441319,,-0.0001426834786886,0.0004068442479253,0.7258075224299672,,-7.011981505104876e-05,0.0003256456789052,0.8295135583391988,,-0.0001526820649896,0.0002804258650744,0.5861215359943968,
female,0.2371418966911191,0.0880073051573901,0.0070479394672391,**,0.1592239977719278,0.0606630637041084,0.0086718396649592,**,0.0633555794431557,0.0487511133945797,0.1937477190369523,,0.0324061549577726,0.0416640546353577,0.4366890045504972,
list_pos,-0.3957842399519489,0.4437415198034107,0.3724330310899146,,-0.082037770552182,0.3102105844230159,0.7914267762684839,,0.0795979718893826,0.2355739681851343,0.7354464554730202,,0.2646745948932929,0.1956098651734137,0.1760320363009269,
log_p_votes,-0.541347863655715,0.1680065703175053,0.0012721798792758,**,-0.1185681106429295,0.1198946098040605,0.3226943951863923,,0.0371804440054605,0.105871857016276,0.7254507253899247,,0.2703519536511872,0.0953976265968041,0.0045976751589924,**
p_seats,0.5833192566230503,0.4437507814637768,0.1886712877795038,,0.757047998591847,0.3105004639045669,0.0147624767930945,*,0.9013098884183935,0.2357760583691357,0.0001319784655888,***,1.0285869064791302,0.1962203924469842,1.588470850411028e-07,***
