analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,outcome_family,definition
comparison,wins_next_string_any_prv,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.058823529411764705,0.4157458563535912,0.186922232968666,0.04945728242605797,0.08959900080133831,0.2842454651359937,0.00018924453755353454,wins,string_any_prv
comparison,wins_next_string_any_prv,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.0373053241579138,0.443359375,0.2086774286091635,0.038713722090112895,0.13251976805820587,0.2848350891601211,1.344619593446339e-07,wins,string_any_prv
comparison,wins_next_string_any_prv,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.02800982800982801,0.4588144726712856,0.2427128614855491,0.03333717901010368,0.177139081730061,0.3082866412410372,2.3381296898605797e-12,wins,string_any_prv
comparison,wins_next_string_same_prv,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.08639705882352941,0.3575268817204301,0.18515717164855666,0.06577565730798557,0.05555431069305594,0.3147600326040574,0.005302836021839896,wins,string_same_prv
comparison,wins_next_string_same_prv,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.05595408895265423,0.4005524861878453,0.1837700630288782,0.04695042887948118,0.0913798776800396,0.2761602483777168,0.00011210029981745251,wins,string_same_prv
comparison,wins_next_string_same_prv,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.03513219847881202,0.4287109375,0.20049774941641665,0.03672850424526285,0.1282454107664603,0.272750088066373,9.450113380715663e-08,wins,string_same_prv
comparison,wins_next_string_same_prv,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.026535626535626536,0.44418783679753654,0.23289297856472005,0.031658663269486575,0.17062081654533334,0.29516514058410676,1.4355183708403274e-12,wins,string_same_prv
comparison,runs_next_any_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3492647058823529,0.6155913978494624,0.3240606859879446,0.07336967977760164,0.1800492585271394,0.46807211344874977,1.133838175459978e-05,runs,person_any_prv
comparison,runs_next_any_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.33428981348637016,0.6187845303867403,0.27092137425020146,0.05092820907546587,0.17110208446228836,0.37074066403811456,1.0395442262556287e-07,runs,person_any_prv
comparison,runs_next_any_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.31510322346975733,0.6103515625,0.2735259196116805,0.04021059508453064,0.19471315324600041,0.35233868597736057,1.0293765839719526e-11,runs,person_any_prv
comparison,runs_next_any_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.30982800982800984,0.6096997690531177,0.2792769656640973,0.03443136104227197,0.21179149802124425,0.3467624333069504,4.440892098500626e-16,runs,person_any_prv
comparison,runs_next_same_prv,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.0728238612392128,0.20386333600419795,0.4897435045440165,2.2582555014860617e-06,runs,person_same_prv
comparison,runs_next_same_prv,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.05092325430637462,0.18528929495585017,0.3849084518368387,2.160911649617958e-08,runs,person_same_prv
comparison,runs_next_same_prv,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04011591824092633,0.19802643037742096,0.35528082988185217,5.335287767138652e-12,runs,person_same_prv
comparison,runs_next_same_prv,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.03415003106250632,0.2090608154622374,0.34292893722726214,6.661338147750939e-16,runs,person_same_prv
