bin_idx,bandwidth,bin_left,bin_right,bin_center,bin_width,side,count,share,density,plot_bin,bin_in_side,count_ratio_near0,count_ratio_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,log_density_jump,log_density_jump_se,log_density_jump_p_value,implied_density_ratio_at_cutoff
26,0.05,0.03666666666666667,0.04000000000000001,0.03833333333333334,0.0033333333333333335,right,59,0.024461028192371476,7.338308457711442,12,11,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
27,0.05,0.04000000000000001,0.043333333333333335,0.04166666666666667,0.0033333333333333335,right,46,0.019071310116086235,5.72139303482587,13,12,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
28,0.05,0.043333333333333335,0.046666666666666676,0.045000000000000005,0.0033333333333333335,right,53,0.02197346600331675,6.592039800995024,14,13,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
29,0.05,0.046666666666666676,0.05,0.04833333333333334,0.0033333333333333335,right,46,0.019071310116086235,5.72139303482587,15,14,1.0,1.0,0.0,1,0.10077680926998234,0.10844649734886952,0.3527456779598137,1.1060297586241858
0,0.075,-0.075,-0.06999999999999999,-0.0725,0.005,left,290,0.06799531066822978,13.599062133645957,-15,0,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
1,0.075,-0.06999999999999999,-0.065,-0.0675,0.005,left,313,0.07338804220398593,14.677608440797187,-14,1,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
2,0.075,-0.065,-0.06,-0.0625,0.005,left,289,0.06776084407971864,13.552168815943729,-13,2,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
3,0.075,-0.06,-0.05499999999999999,-0.057499999999999996,0.005,left,350,0.08206330597889801,16.412661195779602,-12,3,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
4,0.075,-0.05499999999999999,-0.049999999999999996,-0.05249999999999999,0.005,left,273,0.06400937866354045,12.801875732708089,-11,4,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
5,0.075,-0.049999999999999996,-0.045,-0.0475,0.005,left,230,0.053927315357561546,10.785463071512309,-10,5,0.8958333333333334,0.8963730569948186,-0.10939859440710664,1,0.04429803924365672,0.1766997279010054,0.8020486097570034,1.0452938470552684
