analysis_type,outcome,bandwidth,se_type,cluster_spec,n_window,n_left,n_right,n_clusters_left,n_clusters_right,reduced_form_tau,reduced_form_se,reduced_form_p_value,first_stage_tau,first_stage_se,first_stage_p_value,fuzzy_tau,fuzzy_se,fuzzy_ci95_low,fuzzy_ci95_high,fuzzy_p_value,first_stage_f_stat,weak_first_stage_flag,selector_method,selector_detail
fuzzy_wald,runs_next,0.11178995321986107,cluster_prv_election,cluster_prv_election,6088,4676,1412,334,344,0.27756015614107993,0.03278954516717708,8.881784197001252e-16,0.9848041527680814,0.008653974644650122,0.0,0.2818429993018567,0.03338748643097349,0.21640352589714867,0.3472824727065647,0.0,12949.962348266046,0,rdrobust_cct,mserd
fuzzy_wald,runs_next,0.11178995321986107,cluster_prv_election_party,cluster_prv_election_party,6088,4676,1412,3388,968,0.27756015614107993,0.032111355862912624,0.0,0.9848041527680814,0.007552121246789048,0.0,0.2818429993018567,0.03267839910393889,0.21779333705813647,0.3458926615455769,0.0,17004.420457927343,0,rdrobust_cct,mserd
fuzzy_wald,runs_next,0.11178995321986107,hc1,none,6088,4676,1412,0,0,0.27756015614107993,0.033149561384094625,0.0,0.9848041527680814,0.005863820207801059,0.0,0.2818429993018567,0.033702876813610415,0.21578536074718027,0.34790063785653313,0.0,28205.801871565563,0,rdrobust_cct,mserd
fuzzy_wald,wins_next,0.06781551570384327,cluster_prv_election,cluster_prv_election,3366,2417,949,312,315,0.19643149072855853,0.03904791221186011,8.156610260545705e-07,0.9805941003688985,0.011843433511346898,0.0,0.2003188583886658,0.039894099463246374,0.12212642344070292,0.2785112933366287,5.133219282971169e-07,6855.250032787901,0,rdrobust_cct,mserd
fuzzy_wald,wins_next,0.06781551570384327,cluster_prv_election_party,cluster_prv_election_party,3366,2417,949,1922,782,0.19643149072855853,0.03756328253359595,1.701085432515015e-07,0.9805941003688985,0.01054008922912317,0.0,0.2003188583886658,0.038367123072156215,0.12511929716723963,0.275518419610092,1.7785664585545646e-07,8655.456480321038,0,rdrobust_cct,mserd
fuzzy_wald,wins_next,0.06781551570384327,hc1,none,3366,2417,949,0,0,0.19643149072855853,0.03840047386868853,3.131758556929043e-07,0.9805941003688985,0.008533977754966771,0.0,0.2003188583886658,0.03919920306347812,0.12348842038424869,0.27714929639308294,3.2168366059792675e-07,13203.088644842259,0,rdrobust_cct,mserd
