variable,n_total,mean_total,sd_total,min_total,max_total,n_left,mean_left,sd_left,n_right,mean_right,sd_right
running_variable,2412,-0.010993919890020831,0.029476534440615446,-0.0499222143855021,0.0499983383224153,1568,-0.030023110027051134,0.013939025108848228,844,0.024358888326642115,0.01410585582877952
elected_dta,2412,0.3503316749585406,0.4771727076132188,0.0,1.0,1568,0.003826530612244898,0.061760188457609326,844,0.9940758293838863,0.07678581035909103
runs_next,2118,0.40793201133144474,0.4915664482851286,0.0,1.0,1394,0.3098995695839311,0.46261793354063907,724,0.5966850828729282,0.4909020744997173
wins_next,2118,0.17422096317280453,0.37938895292923364,0.0,1.0,1394,0.05595408895265423,0.2299155265794516,724,0.40193370165745856,0.4906276399425828
female,1879,0.40393826503459285,0.49081600397133524,0.0,1.0,1223,0.4129190515126738,0.4925599309586665,656,0.3871951219512195,0.4874805754977511
list_pos,2412,2.4917081260364844,2.457505636567743,1.0,21.0,1568,2.3348214285714284,2.3300181382489793,844,2.7831753554502368,2.6552218276055344
log_p_votes,2412,10.577296902144539,2.0193230231245773,0.0,14.368066627483715,1568,9.93691424231659,2.1405640521649403,844,11.767012554526328,0.9824053895745555
p_seats,2412,1.771558872305141,2.6104096354409667,0.0,19.0,1568,1.1441326530612246,2.272926310794092,844,2.9372037914691944,2.7916312405707893
blank_vote_share,2412,0.00966122975529376,0.0037735729264374656,0.004269486183304062,0.02566246599065353,1568,0.00980300567564719,0.0038685760534640655,844,0.009397835628381226,0.003577754931197077
