bandwidth,n_window,n_left,n_right,bins_per_side,n_bins_total,bin_width,left_bins_nonzero,right_bins_nonzero,left_near0_count,right_near0_count,count_ratio_right_over_left_near0,count_ratio_right_over_left_near0_add05,log_count_ratio_near0_add05,formal_test_feasible,formal_test_name,log_density_jump,log_density_jump_se,log_density_jump_ci95_low,log_density_jump_ci95_high,log_density_jump_p_value,implied_density_ratio_at_cutoff
0.025,1059,621,438,15,30,0.0016666666666666668,15,15,27,27,1.0,1.0,0.0,1,mccrary_style_local_linear_log_bin_density,0.12271931524625934,0.16314897036778664,-0.19705266667460247,0.44249129716712116,0.45193573316581714,1.130567043475879
0.05,2424,1575,849,15,30,0.0033333333333333335,15,15,54,54,1.0,1.0,0.0,1,mccrary_style_local_linear_log_bin_density,0.10117121017402475,0.11009404479955874,-0.11461311763311038,0.3169555379811599,0.3581203585277568,1.106466063794806
0.075,4283,3095,1188,15,30,0.005,15,15,97,87,0.8969072164948454,0.8974358974358975,-0.10821358464023272,1,mccrary_style_local_linear_log_bin_density,0.046190879083811254,0.17753909323854367,-0.30178574366373434,0.39416750183135685,0.7947303276385393,1.0472742946373828
0.1,6065,4563,1502,15,30,0.006666666666666667,15,15,119,122,1.0252100840336134,1.0251046025104602,0.024794658613216274,1,mccrary_style_local_linear_log_bin_density,-0.08080626042391081,0.16261903546391096,-0.3995395699331763,0.23792704908535467,0.6192558346437209,0.9223723741678593
