bandwidth,n_window,n_treated,n_control,female_missing_count_treated,female_missing_count_control,female_missing_rate_treated,female_missing_rate_control,female_missing_rate_overall,rd_tau_female_missing,rd_se_female_missing,rd_ci95_low_female_missing,rd_ci95_high_female_missing,rd_p_value_female_missing
0.025,916,372,544,96,143,0.25806451612903225,0.26286764705882354,0.2609170305676856,-6.01021598478739e-05,0.06904266007438083,-0.13538371590563428,0.13526351158593855,0.999305435519064
0.05,2118,724,1394,188,345,0.2596685082872928,0.24748923959827834,0.2516525023607177,0.012177998963656858,0.04751334965733394,-0.08094816636471766,0.10530416429203138,0.797713876170631
0.075,3785,1024,2761,259,729,0.2529296875,0.2640347700108656,0.2610303830911493,0.026632268785868142,0.03770487137376503,-0.04726927910671131,0.1005338166784476,0.479979857870517
0.1,5369,1299,4070,328,1075,0.2525019245573518,0.2641277641277641,0.26131495623021045,0.026402755576458048,0.032129754391227956,-0.03657156303034874,0.08937707418326483,0.41121689430296104
