outcome,selector_method,selector_detail,bandwidth_raw,bandwidth_selected,bandwidth_min_required,bandwidth_upper_cap_q90,adjusted_to_min_side_requirement,adjusted_to_upper_cap,n_sample,n_left_selected_bw,n_right_selected_bw,pilot_h_curvature,pilot_h_variance,pilot_h_density,m2_left,m2_right,m2_diff_abs,sigma2_left,sigma2_right,sigma2_sum,fhat_cutoff,bandwidth_left_raw,bandwidth_right_raw,fallback_reason
runs_next,rdrobust_cct,mserd,0.11178995321986107,0.11178995321986107,0.0022413847002929,1.8906066313172794,0,0,36056,4676,1412,,,,,,,,,,,0.11178995321986107,0.11178995321986107,
wins_next,rdrobust_cct,mserd,0.06781551570384327,0.06781551570384327,0.0022413847002929,1.8906066313172794,0,0,36056,2417,949,,,,,,,,,,,0.06781551570384327,0.06781551570384327,
