sharp_analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,sharp_tau,sharp_se,sharp_ci95_low,sharp_ci95_high,sharp_p_value,first_stage_tau,first_stage_se,first_stage_p_value,reduced_form_tau,reduced_form_se,reduced_form_p_value,fuzzy_tau,fuzzy_se,fuzzy_ci95_low,fuzzy_ci95_high,fuzzy_p_value,weak_first_stage_flag,sharp_minus_fuzzy
main,runs_next,0.025,cluster_prv_election,cluster_prv_election,194,209,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.06397928508986783,0.22074009032965863,0.4728667502185558,1.5034571387850804e-07,0.9788688296609435,0.015844274043763772,0.0,0.3468034202741072,0.06397928508986783,1.5034571387850804e-07,0.354289982238204,0.06561152072957442,0.22569140160823814,0.4828885628681699,6.671017271919766e-08,0,-0.007486561964096805
main,runs_next,0.05,cluster_prv_election,cluster_prv_election,282,287,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.04826315568854369,0.19012547259888132,0.3800722741938075,9.342352891295036e-09,0.9787664656774033,0.014511512354023932,0.0,0.28509887339634443,0.04826315568854369,9.342352891295036e-09,0.2912838592186828,0.04949894215457874,0.19426593259570846,0.3883017858416571,3.9890164504896575e-09,0,-0.00618498582233834
main,runs_next,0.075,cluster_prv_election,cluster_prv_election,318,323,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.039621575798104304,0.19871003914393776,0.35459722111533537,1.610711564126177e-11,0.9812408766740232,0.011166723368606689,0.0,0.27665363012963656,0.039621575798104304,1.610711564126177e-11,0.28194262663350433,0.04050632892254693,0.20255022194531236,0.3613350313216963,3.3917313402298532e-12,0,-0.005288996503867771
main,runs_next,0.1,cluster_prv_election,cluster_prv_election,332,339,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.034325709067787556,0.2084766713496693,0.3435130813398303,1.509903313490213e-14,0.9835653713822055,0.00934782779426533,0.0,0.2759948763447498,0.034325709067787556,1.509903313490213e-14,0.28060654062768997,0.03500101487755148,0.21200455146768907,0.3492085297876909,1.1102230246251565e-15,0,-0.004611664282940187
main,runs_next,0.025,cluster_prv_election_party,cluster_prv_election_party,536,360,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.0728238612392128,0.2038633360041981,0.48974350454401633,2.2582555014860617e-06,0.9788688296609435,0.012794493552886844,0.0,0.3468034202741072,0.0728238612392128,2.2582555014860617e-06,0.354289982238204,0.07453991888348997,0.20819174122656367,0.5003882232498443,2.0039709709429587e-06,0,-0.007486561964096805
main,runs_next,0.05,cluster_prv_election_party,cluster_prv_election_party,1138,637,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.05092325430637462,0.18528929495585017,0.3849084518368387,2.160911649617958e-08,0.9787664656774033,0.012577648409547854,0.0,0.28509887339634443,0.05092325430637462,2.160911649617958e-08,0.2912838592186828,0.052162468728913995,0.18904542051001133,0.3935222979273542,2.3482498390237083e-08,0,-0.00618498582233834
main,runs_next,0.075,cluster_prv_election_party,cluster_prv_election_party,2197,819,3785,2761,1024,0.28902571532053606,0.5908203125,0.27665363012963656,0.04011591824092633,0.19802643037742096,0.35528082988185217,5.335287767138652e-12,0.9812408766740232,0.009929731903530007,0.0,0.27665363012963656,0.04011591824092633,5.335287767138652e-12,0.28194262663350433,0.04098228117905954,0.20161735552254764,0.362267897744461,6.001199537308821e-12,0,-0.005288996503867771
main,runs_next,0.1,cluster_prv_election_party,cluster_prv_election_party,3014,932,5369,4070,1299,0.2793611793611794,0.590454195535027,0.2759948763447498,0.03415003106250632,0.2090608154622374,0.34292893722726214,6.661338147750939e-16,0.9835653713822055,0.008214709300559047,0.0,0.2759948763447498,0.03415003106250632,6.661338147750939e-16,0.28060654062768997,0.03479965840154882,0.21239921016065427,0.34881387109472567,6.661338147750939e-16,0,-0.004611664282940187
main,runs_next,0.025,hc1,none,0,0,916,544,372,0.3272058823529412,0.6021505376344086,0.3468034202741072,0.072740698789099,0.20423165064747317,0.48937518990074125,1.8637160732470903e-06,0.9788688296609435,0.012776698756945625,0.0,0.3468034202741072,0.072740698789099,1.8637160732470903e-06,0.354289982238204,0.07445472516919309,0.20835872090658555,0.5002212435698224,1.950735829980843e-06,0,-0.007486561964096805
main,runs_next,0.05,hc1,none,0,0,2118,1394,724,0.3098995695839311,0.5966850828729282,0.28509887339634443,0.0517143029210558,0.18373883967107507,0.3864589071216138,3.5284883681541146e-08,0.9787664656774033,0.010400771880033568,0.0,0.28509887339634443,0.0517143029210558,3.5284883681541146e-08,0.2912838592186828,0.052926790530191184,0.18754734977950804,0.3950203686578575,3.722739339018233e-08,0,-0.00618498582233834
