analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value,selector_method,selector_detail
main_selected_bw,runs_next,0.11178995321986107,cluster_prv_election,cluster_prv_election,334,344,6088,4676,1412,0.2756629597946963,0.5864022662889519,0.27756015614107993,0.03278954516717708,0.21306625936372997,0.3420540529184299,8.881784197001252e-16,rdrobust_cct,mserd
main_selected_bw,runs_next,0.11178995321986107,cluster_prv_election_party,cluster_prv_election_party,3388,968,6088,4676,1412,0.2756629597946963,0.5864022662889519,0.27756015614107993,0.032111355862912624,0.2146218986497712,0.34049841363238864,0.0,rdrobust_cct,mserd
main_selected_bw,runs_next,0.11178995321986107,hc1,none,0,0,6088,4676,1412,0.2756629597946963,0.5864022662889519,0.27756015614107993,0.033149561384094625,0.21258701582825446,0.3425332964539054,0.0,rdrobust_cct,mserd
main_selected_bw,wins_next,0.06781551570384327,cluster_prv_election,cluster_prv_election,312,315,3366,2417,949,0.036822507240380636,0.4267650158061117,0.19643149072855853,0.03904791221186011,0.11960934254597823,0.27325363891113885,8.156610260545705e-07,rdrobust_cct,mserd
main_selected_bw,wins_next,0.06781551570384327,cluster_prv_election_party,cluster_prv_election_party,1922,782,3366,2417,949,0.036822507240380636,0.4267650158061117,0.19643149072855853,0.03756328253359595,0.12280745696271048,0.2700555244944066,1.701085432515015e-07,rdrobust_cct,mserd
main_selected_bw,wins_next,0.06781551570384327,hc1,none,0,0,3366,2417,949,0.036822507240380636,0.4267650158061117,0.19643149072855853,0.03840047386868853,0.12116656194592902,0.27169641951118806,3.131758556929043e-07,rdrobust_cct,mserd
