election_ym,prv_code,eligible_voters,province_name,source_file
200803,41,1469076,Sevilla,PROV_02_200803_1.xlsx
200803,42,77370,Soria,PROV_02_200803_1.xlsx
200803,43,543383,Tarragona,PROV_02_200803_1.xlsx
200803,44,114212,Teruel,PROV_02_200803_1.xlsx
200803,45,488388,Toledo,PROV_02_200803_1.xlsx
200803,46,1899263,Valencia / València,PROV_02_200803_1.xlsx
200803,47,433204,Valladolid,PROV_02_200803_1.xlsx
200803,48,956709,Bizkaia,PROV_02_200803_1.xlsx
200803,49,179355,Zamora,PROV_02_200803_1.xlsx
200803,50,725943,Zaragoza,PROV_02_200803_1.xlsx
200803,51,57805,Ceuta,PROV_02_200803_1.xlsx
200803,52,50711,Melilla,PROV_02_200803_1.xlsx
201111,1,250743,Araba - Álava,PROV_02_201111_1.xlsx
201111,2,309456,Albacete,PROV_02_201111_1.xlsx
201111,3,1222109,Alicante / Alacant,PROV_02_201111_1.xlsx
201111,4,469594,Almería,PROV_02_201111_1.xlsx
201111,5,142578,Ávila,PROV_02_201111_1.xlsx
201111,6,557468,Badajoz,PROV_02_201111_1.xlsx
201111,7,730740,Illes Balears,PROV_02_201111_1.xlsx
201111,8,4028117,Barcelona,PROV_02_201111_1.xlsx
201111,9,303109,Burgos,PROV_02_201111_1.xlsx
201111,10,352097,Cáceres,PROV_02_201111_1.xlsx
201111,11,981061,Cádiz,PROV_02_201111_1.xlsx
201111,12,414561,Castellón / Castelló,PROV_02_201111_1.xlsx
201111,13,404764,Ciudad Real,PROV_02_201111_1.xlsx
201111,14,652086,Córdoba,PROV_02_201111_1.xlsx
201111,15,1085232,A Coruña,PROV_02_201111_1.xlsx
201111,16,163500,Cuenca,PROV_02_201111_1.xlsx
201111,17,499909,Girona,PROV_02_201111_1.xlsx
201111,18,735201,Granada,PROV_02_201111_1.xlsx
201111,19,179570,Guadalajara,PROV_02_201111_1.xlsx
201111,20,575334,Gipuzkoa,PROV_02_201111_1.xlsx
201111,21,392755,Huelva,PROV_02_201111_1.xlsx
201111,22,175713,Huesca,PROV_02_201111_1.xlsx
201111,23,537036,Jaén,PROV_02_201111_1.xlsx
201111,24,447708,León,PROV_02_201111_1.xlsx
201111,25,313516,Lleida,PROV_02_201111_1.xlsx
201111,26,242800,La Rioja,PROV_02_201111_1.xlsx
201111,27,350851,Lugo,PROV_02_201111_1.xlsx
201111,28,4653779,Madrid,PROV_02_201111_1.xlsx
201111,29,1116276,Málaga,PROV_02_201111_1.xlsx
201111,30,1000624,Murcia,PROV_02_201111_1.xlsx
201111,31,488211,Navarra,PROV_02_201111_1.xlsx
201111,32,362679,Ourense,PROV_02_201111_1.xlsx
201111,33,989045,Asturias,PROV_02_201111_1.xlsx
201111,34,147783,Palencia,PROV_02_201111_1.xlsx
201111,35,794522,Las Palmas,PROV_02_201111_1.xlsx
201111,36,890054,Pontevedra,PROV_02_201111_1.xlsx
201111,37,312001,Salamanca,PROV_02_201111_1.xlsx
201111,38,792773,Santa Cruz de Tenerife,PROV_02_201111_1.xlsx
201111,39,496483,Cantabria,PROV_02_201111_1.xlsx
201111,40,123481,Segovia,PROV_02_201111_1.xlsx
201111,41,1506129,Sevilla,PROV_02_201111_1.xlsx
201111,42,77355,Soria,PROV_02_201111_1.xlsx
201111,43,554799,Tarragona,PROV_02_201111_1.xlsx
201111,44,112301,Teruel,PROV_02_201111_1.xlsx
201111,45,514208,Toledo,PROV_02_201111_1.xlsx
201111,46,1921158,Valencia / València,PROV_02_201111_1.xlsx
201111,47,434477,Valladolid,PROV_02_201111_1.xlsx
201111,48,949471,Bizkaia,PROV_02_201111_1.xlsx
201111,49,178365,Zamora,PROV_02_201111_1.xlsx
201111,50,730496,Zaragoza,PROV_02_201111_1.xlsx
201111,51,60723,Ceuta,PROV_02_201111_1.xlsx
201111,52,54690,Melilla,PROV_02_201111_1.xlsx
201512,1,254327,Araba/Álava,PROV_02_201512_1.xlsx
201512,2,310674,Albacete,PROV_02_201512_1.xlsx
201512,3,1251941,Alicante/Alacant,PROV_02_201512_1.xlsx
201512,4,490192,Almería,PROV_02_201512_1.xlsx
201512,5,139955,Ávila,PROV_02_201512_1.xlsx
201512,6,559247,Badajoz,PROV_02_201512_1.xlsx
201512,7,771381,"Balears, Illes",PROV_02_201512_1.xlsx
201512,8,4128181,Barcelona,PROV_02_201512_1.xlsx
201512,9,300985,Burgos,PROV_02_201512_1.xlsx
201512,10,351037,Cáceres,PROV_02_201512_1.xlsx
201512,11,993618,Cádiz,PROV_02_201512_1.xlsx
201512,12,417197,Castellón/Castelló,PROV_02_201512_1.xlsx
201512,13,401885,Ciudad Real,PROV_02_201512_1.xlsx
201512,14,651727,Córdoba,PROV_02_201512_1.xlsx
201512,15,1088822,"Coruña, A",PROV_02_201512_1.xlsx
201512,16,158886,Cuenca,PROV_02_201512_1.xlsx
201512,17,511640,Girona,PROV_02_201512_1.xlsx
201512,18,748189,Granada,PROV_02_201512_1.xlsx
201512,19,182321,Guadalajara,PROV_02_201512_1.xlsx
201512,20,580725,Gipuzkoa,PROV_02_201512_1.xlsx
201512,21,396415,Huelva,PROV_02_201512_1.xlsx
201512,22,174072,Huesca,PROV_02_201512_1.xlsx
201512,23,533748,Jaén,PROV_02_201512_1.xlsx
201512,24,442375,León,PROV_02_201512_1.xlsx
201512,25,313836,Lleida,PROV_02_201512_1.xlsx
201512,26,247507,"Rioja, La",PROV_02_201512_1.xlsx
201512,27,349547,Lugo,PROV_02_201512_1.xlsx
201512,28,4913893,Madrid,PROV_02_201512_1.xlsx
201512,29,1160216,Málaga,PROV_02_201512_1.xlsx
201512,30,1031733,Murcia,PROV_02_201512_1.xlsx
201512,31,502520,Navarra,PROV_02_201512_1.xlsx
201512,32,365513,Ourense,PROV_02_201512_1.xlsx
201512,33,985087,Asturias,PROV_02_201512_1.xlsx
201512,34,144427,Palencia,PROV_02_201512_1.xlsx
201512,35,838543,"Palmas, Las",PROV_02_201512_1.xlsx
201512,36,901970,Pontevedra,PROV_02_201512_1.xlsx
201512,37,309358,Salamanca,PROV_02_201512_1.xlsx
201512,38,830368,Santa Cruz de Tenerife,PROV_02_201512_1.xlsx
201512,39,498771,Cantabria,PROV_02_201512_1.xlsx
201512,40,121440,Segovia,PROV_02_201512_1.xlsx
201512,41,1531161,Sevilla,PROV_02_201512_1.xlsx
201512,42,76986,Soria,PROV_02_201512_1.xlsx
201512,43,562799,Tarragona,PROV_02_201512_1.xlsx
201512,44,109984,Teruel,PROV_02_201512_1.xlsx
201512,45,518838,Toledo,PROV_02_201512_1.xlsx
201512,46,1946144,Valencia/València,PROV_02_201512_1.xlsx
201512,47,433667,Valladolid,PROV_02_201512_1.xlsx
201512,48,949177,Bizkaia,PROV_02_201512_1.xlsx
201512,49,174445,Zamora,PROV_02_201512_1.xlsx
201512,50,735079,Zaragoza,PROV_02_201512_1.xlsx
201512,51,61660,Ceuta,PROV_02_201512_1.xlsx
201512,52,57639,Melilla,PROV_02_201512_1.xlsx
201606,1,254579,Araba - Álava,PROV_02_201606_1.xlsx
201606,2,310083,Albacete,PROV_02_201606_1.xlsx
201606,3,1253296,Alicante / Alacant,PROV_02_201606_1.xlsx
201606,4,491496,Almería,PROV_02_201606_1.xlsx
201606,5,139218,Ávila,PROV_02_201606_1.xlsx
201606,6,558228,Badajoz,PROV_02_201606_1.xlsx
201606,7,772939,Illes Balears,PROV_02_201606_1.xlsx
201606,8,4131319,Barcelona,PROV_02_201606_1.xlsx
201606,9,300243,Burgos,PROV_02_201606_1.xlsx
201606,10,349082,Cáceres,PROV_02_201606_1.xlsx
201606,11,993689,Cádiz,PROV_02_201606_1.xlsx
201606,12,416491,Castellón / Castelló,PROV_02_201606_1.xlsx
201606,13,400552,Ciudad Real,PROV_02_201606_1.xlsx
201606,14,651184,Córdoba,PROV_02_201606_1.xlsx
201606,15,1087472,A Coruña,PROV_02_201606_1.xlsx
201606,16,157835,Cuenca,PROV_02_201606_1.xlsx
201606,17,512366,Girona,PROV_02_201606_1.xlsx
201606,18,748579,Granada,PROV_02_201606_1.xlsx
201606,19,182408,Guadalajara,PROV_02_201606_1.xlsx
201606,20,580706,Gipuzkoa,PROV_02_201606_1.xlsx
201606,21,396117,Huelva,PROV_02_201606_1.xlsx
201606,22,173546,Huesca,PROV_02_201606_1.xlsx
201606,23,532211,Jaén,PROV_02_201606_1.xlsx
201606,24,440263,León,PROV_02_201606_1.xlsx
201606,25,313207,Lleida,PROV_02_201606_1.xlsx
201606,26,247670,La Rioja,PROV_02_201606_1.xlsx
201606,27,348561,Lugo,PROV_02_201606_1.xlsx
201606,28,4927932,Madrid,PROV_02_201606_1.xlsx
201606,29,1163657,Málaga,PROV_02_201606_1.xlsx
201606,30,1034075,Murcia,PROV_02_201606_1.xlsx
201606,31,502530,Navarra,PROV_02_201606_1.xlsx
201606,32,364469,Ourense,PROV_02_201606_1.xlsx
201606,33,982837,Asturias,PROV_02_201606_1.xlsx
201606,34,143769,Palencia,PROV_02_201606_1.xlsx
201606,35,842916,Las Palmas,PROV_02_201606_1.xlsx
201606,36,901233,Pontevedra,PROV_02_201606_1.xlsx
201606,37,308612,Salamanca,PROV_02_201606_1.xlsx
201606,38,833373,Santa Cruz de Tenerife,PROV_02_201606_1.xlsx
201606,39,498203,Cantabria,PROV_02_201606_1.xlsx
201606,40,120823,Segovia,PROV_02_201606_1.xlsx
201606,41,1531806,Sevilla,PROV_02_201606_1.xlsx
201606,42,76814,Soria,PROV_02_201606_1.xlsx
201606,43,562990,Tarragona,PROV_02_201606_1.xlsx
201606,44,109380,Teruel,PROV_02_201606_1.xlsx
201606,45,518206,Toledo,PROV_02_201606_1.xlsx
201606,46,1946046,Valencia / València,PROV_02_201606_1.xlsx
201606,47,433056,Valladolid,PROV_02_201606_1.xlsx
201606,48,948080,Bizkaia,PROV_02_201606_1.xlsx
201606,49,173320,Zamora,PROV_02_201606_1.xlsx
201606,50,734064,Zaragoza,PROV_02_201606_1.xlsx
201606,51,61587,Ceuta,PROV_02_201606_1.xlsx
201606,52,57795,Melilla,PROV_02_201606_1.xlsx
201904,1,257797,Araba / Álava,PROV_02_201904_1.xlsx
201904,2,310207,Albacete,PROV_02_201904_1.xlsx
201904,3,1272928,Alicante / Alacant,PROV_02_201904_1.xlsx
201904,4,500563,Almería,PROV_02_201904_1.xlsx
201904,5,137119,Ávila,PROV_02_201904_1.xlsx
201904,6,555447,Badajoz,PROV_02_201904_1.xlsx
201904,7,801721,Illes Balears,PROV_02_201904_1.xlsx
201904,8,4178927,Barcelona,PROV_02_201904_1.xlsx
201904,9,299337,Burgos,PROV_02_201904_1.xlsx
201904,10,345155,Cáceres,PROV_02_201904_1.xlsx
201904,11,1000037,Cádiz,PROV_02_201904_1.xlsx
201904,12,419714,Castellón / Castelló,PROV_02_201904_1.xlsx
201904,13,396510,Ciudad Real,PROV_02_201904_1.xlsx
201904,14,648790,Córdoba,PROV_02_201904_1.xlsx
201904,15,1087856,A Coruña,PROV_02_201904_1.xlsx
201904,16,155014,Cuenca,PROV_02_201904_1.xlsx
201904,17,522860,Girona,PROV_02_201904_1.xlsx
201904,18,752991,Granada,PROV_02_201904_1.xlsx
201904,19,186507,Guadalajara,PROV_02_201904_1.xlsx
201904,20,583745,Gipuzkoa,PROV_02_201904_1.xlsx
201904,21,397592,Huelva,PROV_02_201904_1.xlsx
201904,22,172644,Huesca,PROV_02_201904_1.xlsx
201904,23,526911,Jaén,PROV_02_201904_1.xlsx
201904,24,433575,León,PROV_02_201904_1.xlsx
201904,25,314558,Lleida,PROV_02_201904_1.xlsx
201904,26,249839,La Rioja,PROV_02_201904_1.xlsx
201904,27,345038,Lugo,PROV_02_201904_1.xlsx
201904,28,5054955,Madrid,PROV_02_201904_1.xlsx
201904,29,1191841,Málaga,PROV_02_201904_1.xlsx
201904,30,1057296,Murcia,PROV_02_201904_1.xlsx
201904,31,511085,Navarra,PROV_02_201904_1.xlsx
201904,32,361188,Ourense,PROV_02_201904_1.xlsx
201904,33,974491,Asturias,PROV_02_201904_1.xlsx
201904,34,141714,Palencia,PROV_02_201904_1.xlsx
201904,35,868186,Las Palmas,PROV_02_201904_1.xlsx
201904,36,905041,Pontevedra,PROV_02_201904_1.xlsx
201904,37,306075,Salamanca,PROV_02_201904_1.xlsx
201904,38,851896,Santa Cruz de Tenerife,PROV_02_201904_1.xlsx
201904,39,501411,Cantabria,PROV_02_201904_1.xlsx
201904,40,119616,Segovia,PROV_02_201904_1.xlsx
201904,41,1544180,Sevilla,PROV_02_201904_1.xlsx
201904,42,76861,Soria,PROV_02_201904_1.xlsx
201904,43,571800,Tarragona,PROV_02_201904_1.xlsx
201904,44,107734,Teruel,PROV_02_201904_1.xlsx
201904,45,524326,Toledo,PROV_02_201904_1.xlsx
201904,46,1964556,Valencia / València,PROV_02_201904_1.xlsx
201904,47,432563,Valladolid,PROV_02_201904_1.xlsx
201904,48,949442,Bizkaia,PROV_02_201904_1.xlsx
201904,49,169200,Zamora,PROV_02_201904_1.xlsx
201904,50,738231,Zaragoza,PROV_02_201904_1.xlsx
201904,51,62580,Ceuta,PROV_02_201904_1.xlsx
201904,52,59233,Melilla,PROV_02_201904_1.xlsx
201911,1,258495,Araba / Álava,PROV_02_201911_1.xlsx
201911,2,309996,Albacete,PROV_02_201911_1.xlsx
201911,3,1276691,Alicante / Alacant,PROV_02_201911_1.xlsx
201911,4,502627,Almería,PROV_02_201911_1.xlsx
201911,5,136717,Ávila,PROV_02_201911_1.xlsx
201911,6,554994,Badajoz,PROV_02_201911_1.xlsx
201911,7,807170,Illes Balears,PROV_02_201911_1.xlsx
201911,8,4201151,Barcelona,PROV_02_201911_1.xlsx
201911,9,298989,Burgos,PROV_02_201911_1.xlsx
201911,10,344445,Cáceres,PROV_02_201911_1.xlsx
201911,11,1002295,Cádiz,PROV_02_201911_1.xlsx
201911,12,420741,Castellón / Castelló,PROV_02_201911_1.xlsx
201911,13,395785,Ciudad Real,PROV_02_201911_1.xlsx
201911,14,648341,Córdoba,PROV_02_201911_1.xlsx
201911,15,1087839,A Coruña,PROV_02_201911_1.xlsx
201911,16,154441,Cuenca,PROV_02_201911_1.xlsx
201911,17,524978,Girona,PROV_02_201911_1.xlsx
201911,18,755007,Granada,PROV_02_201911_1.xlsx
201911,19,187371,Guadalajara,PROV_02_201911_1.xlsx
201911,20,584461,Gipuzkoa,PROV_02_201911_1.xlsx
201911,21,399019,Huelva,PROV_02_201911_1.xlsx
201911,22,172722,Huesca,PROV_02_201911_1.xlsx
201911,23,526659,Jaén,PROV_02_201911_1.xlsx
201911,24,432073,León,PROV_02_201911_1.xlsx
201911,25,314425,Lleida,PROV_02_201911_1.xlsx
201911,26,250213,La Rioja,PROV_02_201911_1.xlsx
201911,27,344446,Lugo,PROV_02_201911_1.xlsx
201911,28,5088093,Madrid,PROV_02_201911_1.xlsx
201911,29,1197688,Málaga,PROV_02_201911_1.xlsx
201911,30,1061841,Murcia,PROV_02_201911_1.xlsx
201911,31,512826,Navarra,PROV_02_201911_1.xlsx
201911,32,360302,Ourense,PROV_02_201911_1.xlsx
201911,33,972580,Asturias,PROV_02_201911_1.xlsx
201911,34,141321,Palencia,PROV_02_201911_1.xlsx
201911,35,871728,Las Palmas,PROV_02_201911_1.xlsx
201911,36,906111,Pontevedra,PROV_02_201911_1.xlsx
201911,37,305536,Salamanca,PROV_02_201911_1.xlsx
201911,38,855138,Santa Cruz de Tenerife,PROV_02_201911_1.xlsx
201911,39,501676,Cantabria,PROV_02_201911_1.xlsx
201911,40,119492,Segovia,PROV_02_201911_1.xlsx
201911,41,1547744,Sevilla,PROV_02_201911_1.xlsx
201911,42,76827,Soria,PROV_02_201911_1.xlsx
201911,43,574866,Tarragona,PROV_02_201911_1.xlsx
201911,44,107467,Teruel,PROV_02_201911_1.xlsx
201911,45,525752,Toledo,PROV_02_201911_1.xlsx
201911,46,1970196,Valencia / València,PROV_02_201911_1.xlsx
201911,47,432655,Valladolid,PROV_02_201911_1.xlsx
201911,48,949598,Bizkaia,PROV_02_201911_1.xlsx
201911,49,168268,Zamora,PROV_02_201911_1.xlsx
201911,50,739573,Zaragoza,PROV_02_201911_1.xlsx
201911,51,62513,Ceuta,PROV_02_201911_1.xlsx
201911,52,59497,Melilla,PROV_02_201911_1.xlsx
202307,1,260214,Araba/Álava,PROV_02_202307_1 2.xlsx
202307,2,307988,Albacete,PROV_02_202307_1 2.xlsx
202307,3,1306311,Alacant/Alicante,PROV_02_202307_1 2.xlsx
202307,4,516114,Almería,PROV_02_202307_1 2.xlsx
202307,5,136669,Ávila,PROV_02_202307_1 2.xlsx
202307,6,550702,Badajoz,PROV_02_202307_1 2.xlsx
202307,7,828755,Illes Balears,PROV_02_202307_1 2.xlsx
202307,8,4243500,Barcelona,PROV_02_202307_1 2.xlsx
202307,9,296401,Burgos,PROV_02_202307_1 2.xlsx
202307,10,339491,Cáceres,PROV_02_202307_1 2.xlsx
202307,11,1017958,Cádiz,PROV_02_202307_1 2.xlsx
202307,12,430830,Castelló/Castellón,PROV_02_202307_1 2.xlsx
202307,13,391495,Ciudad Real,PROV_02_202307_1 2.xlsx
202307,14,645288,Córdoba,PROV_02_202307_1 2.xlsx
202307,15,1085673,A Coruña,PROV_02_202307_1 2.xlsx
202307,16,152694,Cuenca,PROV_02_202307_1 2.xlsx
202307,17,546370,Girona,PROV_02_202307_1 2.xlsx
202307,18,765478,Granada,PROV_02_202307_1 2.xlsx
