analysis_type,outcome,bandwidth,se_type,cluster_spec,n_clusters_left,n_clusters_right,n_window,n_left,n_right,mean_left,mean_right,tau,se,ci95_low,ci95_high,p_value
balance_pretreatment,female,0.025,hc1,none,0,0,811,473,338,0.3763213530655391,0.3905325443786982,0.14497776403580034,0.08001720295308389,-0.011855953752244075,0.30181148182384476,0.07001209105042472
balance_pretreatment,female,0.05,hc1,none,0,0,1879,1223,656,0.4129190515126738,0.3871951219512195,0.08875876103365508,0.054824185535911917,-0.018696642616732276,0.19621416468404246,0.10545352429090782
balance_pretreatment,female,0.075,hc1,none,0,0,3277,2354,923,0.413338997451147,0.40303358613217766,0.011991905175082246,0.04414800077325683,-0.07453817634050114,0.09852198669066564,0.7859068132685723
balance_pretreatment,female,0.1,hc1,none,0,0,4636,3471,1165,0.42033995966580234,0.4094420600858369,-0.0085938437417369,0.03778064230758863,-0.08264390266461061,0.06545621518113681,0.820060742585633
balance_pretreatment,lag_log_p_votes,0.025,hc1,none,0,0,252,147,105,8.158681764100434,8.182453000092927,0.08192116861007182,0.7806679689993853,-1.4481880506287232,1.6120303878488669,0.916425581815379
balance_pretreatment,lag_log_p_votes,0.05,hc1,none,0,0,547,337,210,8.30807914648084,8.486032046948752,0.0033419498224366295,0.5208210729618136,-1.017467353182718,1.0241512528275911,0.9948802534948944
balance_pretreatment,lag_log_p_votes,0.075,hc1,none,0,0,890,603,287,8.109687697299242,8.51309508706551,-0.1514678041201702,0.41847371966658187,-0.9716762946666706,0.6687406864263303,0.7173871782099261
balance_pretreatment,lag_log_p_votes,0.1,hc1,none,0,0,1228,854,374,7.9794173286987045,8.503786820811673,-0.1083266455792373,0.3553073444883638,-0.8047290407764304,0.5880757496179557,0.7604563860370117
balance_pretreatment,lag_p_seats,0.025,hc1,none,0,0,252,147,105,0.5102040816326531,0.5714285714285714,0.2976855727734863,0.3267908840174122,-0.34282455990064153,0.9381957054476141,0.3623291088241902
balance_pretreatment,lag_p_seats,0.05,hc1,none,0,0,547,337,210,0.5637982195845698,0.7095238095238096,0.14261747821808887,0.27011018814894294,-0.3867984905538393,0.6720334469900171,0.597501137541165
balance_pretreatment,lag_p_seats,0.075,hc1,none,0,0,890,603,287,0.5207296849087893,0.759581881533101,0.029039570388709766,0.23275164122641737,-0.4271536464150683,0.4852327871924878,0.9007085359621991
balance_pretreatment,lag_p_seats,0.1,hc1,none,0,0,1228,854,374,0.47540983606557374,0.7272727272727273,0.05652004488175054,0.20313157045433827,-0.34161783320875244,0.45465792297225355,0.7808254227860223
balance_pretreatment,lag_party_vote_share,0.025,hc1,none,0,0,252,147,105,0.0518707814820847,0.052194558000482574,0.010464671830552757,0.025181343056161647,-0.038890760559524076,0.05982010422062958,0.6777229071730659
balance_pretreatment,lag_party_vote_share,0.05,hc1,none,0,0,547,337,210,0.056082645343631665,0.06277693712151666,-0.00012496656574155203,0.018492803777064252,-0.036370861968787485,0.036120928837304375,0.9946082738040443
balance_pretreatment,lag_party_vote_share,0.075,hc1,none,0,0,890,603,287,0.05055116901841473,0.06210380571655935,-0.0026750041362910548,0.015112568760574872,-0.0322956389070178,0.026945630634435697,0.8595042593113649
balance_pretreatment,lag_party_vote_share,0.1,hc1,none,0,0,1228,854,374,0.0473716984285516,0.06384851084882329,-0.0016743909349428655,0.01293212639501015,-0.02702135866916276,0.02367257679927703,0.8969815687637035
balance_pretreatment,lag_province_blank_share,0.025,hc1,none,0,0,942,539,403,0.01028610076099747,0.009663475045797749,-3.434968238736445e-05,0.0005491778620656314,-0.001110738292036002,0.001042038927261273,0.9501268653451844
balance_pretreatment,lag_province_blank_share,0.05,hc1,none,0,0,2175,1392,783,0.010180881120322838,0.009833589755140664,-0.00026839263179395374,0.00040129419341992153,-0.0010549292508969998,0.0005181439873090924,0.5036118184379961
balance_pretreatment,lag_province_blank_share,0.075,hc1,none,0,0,3782,2683,1099,0.010640319050537361,0.0098879361302238,-0.0001351905971827924,0.0003296339640962773,-0.0007812731668114959,0.000510891972445911,0.6817154390862976
balance_pretreatment,lag_province_blank_share,0.1,hc1,none,0,0,5328,3943,1385,0.01057611782190641,0.009913220888236476,-0.00014021926089508323,0.0002849491357987873,-0.0006987195670607063,0.00041828104527053987,0.622659093473567
balance_pretreatment,lag_province_turnout,0.025,hc1,none,0,0,942,539,403,0.708393605641157,0.6958492470965146,0.009681109642229985,0.008086257513778297,-0.006167955084775478,0.025530174369235447,0.23121694100641754
balance_pretreatment,lag_province_turnout,0.05,hc1,none,0,0,2175,1392,783,0.7081371730003443,0.6943196933833836,0.0033035484544655033,0.005822220341622515,-0.008108003415114626,0.014715100324045632,0.5704400427783252
balance_pretreatment,lag_province_turnout,0.075,hc1,none,0,0,3782,2683,1099,0.701249565470053,0.6942360499187474,-0.010178278966201264,0.004727907063850188,-0.01944497681134763,-0.0009115811210548951,0.03133372433502779
balance_pretreatment,lag_province_turnout,0.1,hc1,none,0,0,5328,3943,1385,0.7036710915965684,0.6945809494426023,-0.010783177576411488,0.004035437222282008,-0.018692634532084224,-0.002873720620738752,0.007537340702228779
